cluster,mean_recency_days,mean_high_value_order_ratio,mean_tenure,sum_customer_lifetime_value,count,mean_frequency,mean_clv,mean_order_count_last_30_days,mean_std_order_value,iqr_recency_days,iqr_frequency,iqr_order_count_last_30_days,iqr_CLV,iqr_std_order_value,iqr_high_value_order_ratio,iqr_tenure_days,subcategory,top_5_products
💔Faded Luxe,481.5764705882353,0.14886215092097443,1203.4941176470588,102297.0,85,5.6,4460.4,0.0,446.3867653736288,165.0,3.0,0.0,2973.0,275.2051985594466,0.25,647.0,Cardigan,"[145, 311, 123, 139, 326]"
👑The Inner Circle,15.456375838926174,0.19446744530637147,1221.4093959731545,181990.0,149,8.651006711409396,7620.6510067114095,1.1342281879194631,535.8491491131039,13.0,5.0,0.0,3924.0,272.6335076161454,0.21666666666666667,741.0,Cardigan,"[145, 249, 175, 310, 139]"
💎Quiet High Spenders,122.98660714285714,0.39173929988662126,709.9955357142857,159039.0,224,4.580357142857143,5004.290178571428,0.10714285714285714,722.3730004431943,130.25,3.0,0.0,2973.0,298.1714151428364,0.25,544.25,Shirts & Tops,"[286, 303, 311, 312, 145]"
👀Window Shoppers,113.65384615384616,0.014826007326007326,522.2730769230769,135791.0,260,3.5384615384615383,2454.503846153846,0.11538461538461539,239.0799713327315,111.5,3.0,0.0,2143.25,286.67747804934163,0.0,589.5,Cardigan,"[123, 315, 145, 249, 286]"
🏆The Power Shoppers,133.9795918367347,0.2108986982808617,1587.7551020408164,389000.0,245,10.738775510204082,9844.289795918367,0.0,582.247787139371,124.0,4.0,0.0,4243.0,216.73060421720857,0.1477272727272727,633.0,Cardigan,"[249, 303, 123, 145, 286]"
